nearest_facility_id,nearest_facility_type,acq_date,daily_detections,daily_total_frp_mw,daily_max_frp_mw
L100000102032,coal_power,2025-01-06,1,0.47,0.47
L100000102032,coal_power,2025-01-12,1,0.32,0.32
L100000102032,coal_power,2025-01-21,1,0.68,0.68
L100000102032,coal_power,2025-02-05,1,0.9,0.9
L100000102032,coal_power,2025-02-06,1,1.35,1.35
L100000102032,coal_power,2025-02-10,1,0.79,0.79
L100000102032,coal_power,2025-02-13,1,12.87,12.87
L100000102032,coal_power,2025-03-01,1,1.36,1.36
L100000102032,coal_power,2025-03-29,1,0.7,0.7
L100000102032,coal_power,2025-05-11,1,0.88,0.88
L100000102032,coal_power,2025-05-12,1,1.67,1.67
L100000102032,coal_power,2025-05-19,1,1.66,1.66
L100000102032,coal_power,2025-09-18,1,1.09,1.09
L100000102032,coal_power,2025-11-10,1,1.24,1.24
L100000102032,coal_power,2025-11-12,1,1.1,1.1
L100000102048,coal_power,2025-02-15,2,11.899999999999999,6.43
L100000102050,coal_power,2025-04-17,2,8.7,5.45
L100000102050,coal_power,2025-05-03,1,5.61,5.61
L100000102050,coal_power,2025-06-02,1,1.29,1.29
L100000102050,coal_power,2025-06-04,1,8.47,8.47
L100000102050,coal_power,2025-06-20,1,9.76,9.76
L100000102060,coal_power,2025-02-26,2,2.68,2.02
L100000102065,coal_power,2025-01-12,3,3.64,1.52
L100000102071,coal_power,2025-03-27,1,18.96,18.96
L100000102071,coal_power,2025-04-05,1,5.02,5.02
L100000102072,coal_power,2025-12-23,2,4.04,2.62
L100000102075,coal_power,2025-12-29,1,8.09,8.09
L100000102076,coal_power,2025-12-05,1,3.96,3.96
L100000102078,coal_power,2025-03-11,1,5.83,5.83
L100000102078,coal_power,2025-03-17,1,2.91,2.91
L100000102078,coal_power,2025-03-23,1,4.5,4.5
L100000102078,coal_power,2025-05-02,1,3.76,3.76
L100000102082,coal_power,2025-01-01,5,8.68,2.5
L100000102082,coal_power,2025-01-02,3,3.32,1.21
L100000102082,coal_power,2025-01-03,3,6.140000000000001,2.58
L100000102082,coal_power,2025-01-04,2,2.58,1.49
L100000102082,coal_power,2025-01-05,1,2.74,2.74
L100000102082,coal_power,2025-01-06,1,1.17,1.17
L100000102082,coal_power,2025-01-08,3,3.29,1.39
L100000102082,coal_power,2025-01-09,2,1.79,0.92
L100000102082,coal_power,2025-01-10,1,1.56,1.56
L100000102082,coal_power,2025-01-11,3,8.0,5.15
L100000102082,coal_power,2025-01-12,3,3.3000000000000003,1.1
L100000102082,coal_power,2025-01-13,6,7.95,2.79
L100000102082,coal_power,2025-01-14,3,2.8499999999999996,0.95
L100000102082,coal_power,2025-01-15,4,6.37,1.73
L100000102082,coal_power,2025-01-16,3,6.46,4.04
L100000102082,coal_power,2025-01-17,2,2.62,1.31
L100000102082,coal_power,2025-01-18,3,6.23,3.58
L100000102082,coal_power,2025-01-19,2,3.1,1.55
L100000102082,coal_power,2025-01-22,3,6.28,3.75
L100000102082,coal_power,2025-01-23,1,1.75,1.75
L100000102082,coal_power,2025-01-24,2,1.42,0.71
L100000102082,coal_power,2025-01-25,2,3.96,2.04
L100000102082,coal_power,2025-01-27,3,2.8600000000000003,1.07
L100000102082,coal_power,2025-01-28,1,1.74,1.74
L100000102082,coal_power,2025-01-29,2,4.32,2.16
L100000102082,coal_power,2025-01-30,2,2.84,1.98
