nearest_facility_id,nearest_facility_type,month,detections,active_days,mean_frp_mw,max_frp_mw
L100000102032,coal_power,1,3,3,0.49,0.68
L100000102032,coal_power,2,4,4,3.9775,12.87
L100000102032,coal_power,3,2,2,1.03,1.36
L100000102032,coal_power,5,3,3,1.4033333333333333,1.67
L100000102032,coal_power,9,1,1,1.09,1.09
L100000102032,coal_power,11,2,2,1.17,1.24
L100000102048,coal_power,2,2,1,5.949999999999999,6.43
L100000102050,coal_power,4,2,1,4.35,5.45
L100000102050,coal_power,5,1,1,5.61,5.61
L100000102050,coal_power,6,3,3,6.506666666666667,9.76
L100000102060,coal_power,2,2,1,1.34,2.02
L100000102065,coal_power,1,3,1,1.2133333333333334,1.52
L100000102071,coal_power,3,1,1,18.96,18.96
L100000102071,coal_power,4,1,1,5.02,5.02
L100000102072,coal_power,12,2,1,2.02,2.62
L100000102075,coal_power,12,1,1,8.09,8.09
L100000102076,coal_power,12,1,1,3.96,3.96
L100000102078,coal_power,3,3,3,4.413333333333333,5.83
L100000102078,coal_power,5,1,1,3.76,3.76
L100000102082,coal_power,1,66,26,1.5654545454545457,5.15
L100000102082,coal_power,2,55,24,1.802,5.14
L100000102082,coal_power,3,71,25,2.4866197183098593,8.95
L100000102082,coal_power,4,45,20,2.967777777777778,7.16
L100000102082,coal_power,5,36,15,2.1769444444444446,5.1
L100000102082,coal_power,6,9,6,3.2755555555555556,6.19
L100000102082,coal_power,7,14,4,2.1285714285714286,4.28
L100000102082,coal_power,8,16,9,2.57125,8.52
L100000102082,coal_power,9,32,15,2.3784375,5.32
L100000102082,coal_power,10,46,18,2.1360869565217393,6.42
L100000102082,coal_power,11,95,27,2.666736842105263,6.92
L100000102082,coal_power,12,142,29,2.522605633802817,9.18
L100000102111,coal_power,11,1,1,0.57,0.57
L100000102118,coal_power,12,1,1,4.39,4.39
L100000102121,coal_power,3,1,1,5.35,5.35
L100000102122,coal_power,1,3,3,2.56,3.04
L100000102122,coal_power,12,4,3,4.7075,7.35
L100000102123,coal_power,12,1,1,8.59,8.59
L100000102125,coal_power,3,1,1,2.22,2.22
L100000102128,coal_power,1,2,1,7.585,7.62
L100000102128,coal_power,12,1,1,2.07,2.07
L100000102132,coal_power,3,1,1,2.89,2.89
L100000102134,coal_power,12,6,4,4.235,9.23
L100000102135,coal_power,2,1,1,2.5,2.5
L100000102135,coal_power,3,1,1,3.48,3.48
L100000102138,coal_power,1,1,1,12.0,12.0
L100000102139,coal_power,1,1,1,2.12,2.12
L100000102140,coal_power,1,1,1,2.82,2.82
L100000102140,coal_power,12,1,1,4.38,4.38
L100000102141,coal_power,1,1,1,8.3,8.3
L100000102141,coal_power,12,2,2,1.7149999999999999,2.09
L100000102142,coal_power,5,1,1,0.65,0.65
L100000102144,coal_power,2,1,1,1.69,1.69
L100000102145,coal_power,1,3,2,7.046666666666667,8.88
L100000102145,coal_power,2,2,2,6.255,7.88
