nearest_facility_id,nearest_facility_type,nearest_facility_name,thermal_detections,active_days,mean_frp_mw,median_frp_mw,max_frp_mw,std_frp_mw,mean_brightness_k,max_brightness_k,mean_t31_k,max_t31_k,high_confidence_detections,night_detections,mean_distance_km,min_distance_km,detections_per_active_day,detections_per_month,high_confidence_fraction,night_fraction,mean_daily_detections,median_daily_detections,max_daily_detections,std_daily_detections,mean_daily_total_frp_mw,max_daily_total_frp_mw
L100000102032,coal_power,Balaji Cement power station,15,15,1.8053333333333332,1.09,12.87,3.0866645582631893,308.022,343.35,293.878,309.03,0,14,0.1648653521328329,0.036430956561805,1.0,1.25,0.0,0.9333333333333333,1.0,1.0,1,0.0,1.8053333333333332,12.87
L100000102048,coal_power,Komarada power station,2,1,5.949999999999999,5.949999999999999,6.43,0.6788225099390859,367.0,367.0,305.07000000000005,305.23,2,0,0.2647378194117772,0.2471736094948689,2.0,0.16666666666666666,1.0,0.0,2.0,2.0,2,,11.899999999999999,11.899999999999999
L100000102050,coal_power,Krishnapatnam Ultra Mega Power Project,6,5,5.638333333333333,5.53,9.76,3.1513452154066948,336.805,345.02,303.54833333333335,306.64,0,0,0.8236273255343861,0.4699994842110487,1.2,0.5,0.0,0.0,1.2,1.0,2,0.4472135954999579,6.766,9.76
L100000102060,coal_power,Ontimavadi power station,2,1,1.34,1.34,2.02,0.9616652224137048,307.14,308.24,290.175,290.79,0,2,0.9124763719311024,0.870765856551378,2.0,0.16666666666666666,0.0,1.0,2.0,2.0,2,,2.68,2.68
L100000102065,coal_power,Pudimadaka Ultra Mega Power Project,3,1,1.2133333333333334,1.06,1.52,0.2655811238272278,306.9866666666667,310.53,292.5,292.86,0,3,0.4260873800509693,0.0790290877891437,3.0,0.25,0.0,1.0,3.0,3.0,3,,3.64,3.64
L100000102071,coal_power,Sri Damodaram Sanjeevaiah Thermal Power Station,2,2,11.99,11.99,18.96,9.857068529740474,343.04999999999995,346.84,302.59000000000003,305.97,0,0,0.8705200871388141,0.8186188741076441,1.0,0.16666666666666666,0.0,0.0,1.0,1.0,1,0.0,11.99,18.96
L100000102072,coal_power,Srikakulam Thermal Power Station (Sumitomo),2,1,2.02,2.02,2.62,0.8485281374238571,327.95,328.08,293.015,293.18,0,0,0.681258195478776,0.5710066492990312,2.0,0.16666666666666666,0.0,0.0,2.0,2.0,2,,4.04,4.04
L100000102075,coal_power,Vadarevu Ultra Mega Power Project,1,1,8.09,8.09,8.09,,346.75,346.75,302.07,302.07,0,0,0.7941293640052537,0.7941293640052537,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,8.09,8.09
L100000102076,coal_power,Vemavaram power station,1,1,3.96,3.96,3.96,,332.0,332.0,288.11,288.11,0,0,0.9307993790976068,0.9307993790976068,1.0,0.08333333333333333,0.0,0.0,1.0,1.0,1,,3.96,3.96
L100000102078,coal_power,Vikas Power thermal plant,4,4,4.25,4.13,5.83,1.237551345736141,340.245,343.47,302.2075,307.96,0,0,0.7988035025486232,0.6693067702704955,1.0,0.3333333333333333,0.0,0.0,1.0,1.0,1,0.0,4.25,5.83
