detection_id,branch,facility_id,latitude,longitude,date,acq_date,acq_time,frp,brightness,bright_t31,scan,track,confidence,satellite,instrument,daynight,type,baseline_or_population_reference,deviation_ratio,anomaly_score,fire_event_detected,severity,contributing_factors
DET-08fb08c92056,industrial,P100000124035,9.45344,77.92751,2026-05-22,2026-05-22,211,97.8,315.7,283.4,0.65,0.77,high,N,VIIRS,D,0,59.650000000000006,1.639564124056999,-0.010817853724648718,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-455a732a5583,industrial,L100000102574,8.7582,78.16111,2026-07-20,2026-07-20,2008,55.0,344.1,302.6,0.5,0.44,high,N,VIIRS,D,0,0.0,,0.07282181732200282,True,MEDIUM,"[""hotspot_count_increase""]"
DET-c3be134f085a,industrial,P100000123915,17.1817,77.34697,2026-03-15,2026-03-15,1050,25.4,336.9,285.6,0.53,0.57,nominal,N,VIIRS,D,0,22.5,1.1288888888888888,-0.07554382942393667,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-bee3e1dd76d1,industrial,L100000102366,22.1005,76.52961,2026-03-24,2026-03-24,212,28.0,328.3,298.2,0.52,0.4,low,N,VIIRS,D,0,22.200000000000003,1.261261261261261,-0.007269151987084221,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-03b187746e04,industrial,L100000102210,21.11857,72.63706,2026-06-17,2026-06-17,1921,43.5,331.6,280.4,0.67,0.89,high,N,VIIRS,D,0,62.95,0.6910246227164416,-0.009899256320027972,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-37b8552da8a7,industrial,L100000102061,15.70001,80.2489,2026-06-26,2026-06-26,921,77.9,333.3,302.9,0.93,0.72,low,N,VIIRS,N,0,50.42,1.5450218167393892,0.1092924802211852,True,MEDIUM,"[""hotspot_count_increase"", ""spatial_spread""]"
DET-e8b7517d9a38,industrial,L100000102061,15.70127,80.24936,2026-08-31,2026-08-31,244,49.4,311.6,296.2,1.19,0.87,nominal,N,VIIRS,D,0,54.1,0.9131238447319777,0.08920432682061608,True,MEDIUM,"[""hotspot_count_increase"", ""spatial_spread""]"
DET-48a59fe70725,industrial,P100000120539,20.21878,86.54887,2026-03-15,2026-03-15,1124,18.4,338.1,292.9,0.99,0.56,high,N,VIIRS,N,0,0.0,,0.015001449574172154,True,MEDIUM,"[""hotspot_count_increase"", ""spatial_spread""]"
DET-12e8b4f47895,industrial,L100001000153,26.19203,91.92316,2026-03-10,2026-03-10,341,37.6,325.0,296.8,0.7,0.99,nominal,N,VIIRS,D,0,,,-0.02528307974109989,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-68905991f928,industrial,L100000102199,21.58553,72.22391,2026-06-21,2026-06-21,650,16.8,346.1,304.3,0.44,0.96,nominal,N,VIIRS,D,0,6.574999999999999,2.5551330798479093,-0.012658243481963205,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-b46518fa5caa,industrial,L100000102073,14.2041,80.0879,2026-03-11,2026-03-11,1745,35.7,346.7,308.5,0.74,0.44,high,N,VIIRS,N,0,,,-0.007890528901806748,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-0d320c07a040,industrial,L100000102640,25.14899,81.94263,2026-03-13,2026-03-13,2031,109.6,357.2,281.0,1.16,0.53,nominal,N,VIIRS,N,0,,,-0.029230917533910383,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-8394335c8cb4,industrial,L100000102372,21.92286,78.13026,2026-03-09,2026-03-09,1954,64.7,331.9,306.4,0.56,0.39,nominal,N,VIIRS,D,0,,,-0.016175579535839146,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-12bf7b82940e,industrial,P100000127213,22.76724,73.3833,2026-05-26,2026-05-26,345,16.8,347.1,298.9,0.87,0.68,nominal,N,VIIRS,D,0,20.85,0.8057553956834532,-0.018628018120317336,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-95904f443c26,industrial,L100000102210,21.12294,72.63897,2026-03-21,2026-03-21,2356,48.0,314.2,305.8,0.64,0.54,high,N,VIIRS,D,0,48.0,1.0,-0.020720325338274503,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-604487a5d44a,industrial,L100000102061,15.70002,80.2524,2026-08-31,2026-08-31,554,18.7,330.3,292.9,0.6,0.72,nominal,N,VIIRS,N,0,54.1,0.3456561922365989,0.08920432682061608,True,MEDIUM,"[""hotspot_count_increase"", ""spatial_spread""]"
DET-9ef5e12cbd68,industrial,P100000123945,11.35508,79.2251,2026-07-18,2026-07-18,131,11.8,318.8,284.5,0.8,0.66,high,N,VIIRS,N,0,17.4,0.67816091954023,-0.006772157993714556,True,MEDIUM,"[""isolation_forest_outlier""]"
DET-4e45549bf87e,industrial,L100000102671,23.55537,87.24628,2026-08-23,2026-08-23,18,44.6,317.2,305.3,0.86,0.96,high,N,VIIRS,D,0,48.075,0.9277171086843473,-0.002802966389893524,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
DET-16f4cc497348,industrial,P100000120526,23.67408,86.10721,2026-06-11,2026-06-11,22,474.2,410.3,310.6,1.28,0.86,high,N,VIIRS,N,0,73.375,6.462691652470188,-0.3299207434249468,True,HIGH,"[""frp_spike"", ""hotspot_count_increase"", ""isolation_forest_outlier"", ""spatial_spread""]"
DET-f989ed6c3c41,industrial,P100000123915,17.18584,77.35096,2026-03-19,2026-03-19,214,13.2,311.2,293.9,1.13,0.4,high,N,VIIRS,D,0,21.833333333333332,0.6045801526717557,-0.05915943233286436,True,MEDIUM,"[""isolation_forest_outlier"", ""spatial_spread""]"
