weak_label,latitude,longitude,brightness,scan,track,bright_t31,frp,distance_to_nearest_industry_km,distance_log1p_km,month,dayofyear,hour,is_day,facility_present,confidence,type,nearest_facility_id,nearest_facility_type,nearest_facility_name,status,coordinate_accuracy,acq_date,acq_time
industrial,24.7643,74.6058,304.73,0.47,0.64,290.12,1.62,0.3989984111409667,0.33575655997216786,12,343,20.016666666666666,0,1,n,2,L100000102178,coal_power,Rawan Cement power station,operating,exact,2025-12-09,2001
industrial,21.68136,84.04024,311.17,0.34,0.56,292.11,1.37,0.0665766387995576,0.06445411645018101,2,46,19.433333333333334,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-02-15,1926
industrial,18.68087,73.03386,307.38,0.42,0.37,293.46,2.14,0.4530423669859986,0.37365954244660166,12,357,20.683333333333334,0,1,n,2,P100000123969,cement,JSW Cement Raigad Cement Plant,operating,exact,2025-12-23,2041
industrial,24.71458,75.95288,301.63,0.49,0.48,288.56,1.21,0.1198442028556832,0.11318957103792193,12,337,20.216666666666665,0,1,n,2,P100000124118,cement,Mangalam Cement Chonsala Cement Plant,operating,exact,2025-12-03,2013
industrial,21.38809,81.64806,314.25,0.39,0.36,295.81,1.49,0.406284476753256,0.3409511034723767,3,70,20.266666666666666,0,1,n,2,L100000102183,coal_power,Siltara SKS power station,operating,exact,2025-03-11,2016
industrial,24.56441,81.00306,312.63,0.39,0.36,299.05,1.43,0.3179927793755172,0.27610995759453255,3,86,20.25,0,1,n,2,P100000124123,cement,Prism Johnson Mankahari Cement Plant,operating,exact,2025-03-27,2015
industrial,21.67673,84.03588,306.64,0.45,0.39,292.56,1.82,0.6584770655033351,0.5058997508519156,3,82,19.833333333333332,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-03-23,1950
industrial,17.61163,83.20448,309.2,0.49,0.65,289.35,1.63,0.9801427445742648,0.6831689353271783,1,15,20.816666666666666,0,1,n,2,L100000102082,coal_power,Vizag Steel Plant power station,operating,exact,2025-01-15,2049
industrial,24.76354,74.60734,316.92,0.39,0.36,292.55,1.8,0.2797475845826738,0.2466628589403529,2,47,20.783333333333335,0,1,n,2,L100000102178,coal_power,Rawan Cement power station,operating,exact,2025-02-16,2047
industrial,17.60619,83.20187,341.23,0.4,0.37,303.82,4.26,0.5331577209286177,0.42732947843873553,12,358,7.85,1,1,n,2,L100000102082,coal_power,Vizag Steel Plant power station,operating,exact,2025-12-24,751
industrial,22.00284,82.66771,308.91,0.38,0.36,289.88,1.69,0.1451759214027063,0.13555826835077198,11,321,20.216666666666665,0,1,n,2,L100000102149,coal_power,Hathneora Captive Power Plant,operating,exact,2025-11-17,2013
industrial,24.71431,74.67153,304.34,0.43,0.38,292.13,0.44,0.139422480487846,0.13052153797997143,10,292,20.933333333333334,0,1,n,2,P100000124013,cement,NuvoVistas Corporation Chittaurgarh Cement Plant,operating,exact,2025-10-19,2056
industrial,22.00634,82.66563,305.23,0.67,0.74,287.34,1.7,0.4590561762859483,0.3777897720797099,12,356,19.3,0,1,n,2,L100000102149,coal_power,Hathneora Captive Power Plant,operating,exact,2025-12-22,1918
industrial,21.6814,84.03975,309.25,0.46,0.39,293.83,1.52,0.1015126029243014,0.09668432879653234,10,294,20.316666666666666,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-10-21,2019
industrial,15.02462,78.01627,330.08,0.41,0.37,299.46,3.64,0.2683857629175952,0.23774503917692508,8,218,8.2,1,1,n,2,P100000124064,cement,UltraTech Cement Tadipatri Cement Plant,operating,exact,2025-08-06,812
industrial,21.87759,83.49442,307.44,0.39,0.36,292.99,1.5,0.7093521890219062,0.5361144619084739,9,273,20.2,0,1,n,2,L100000102167,coal_power,Raigarh Ind Power power station,operating,exact,2025-09-30,2012
industrial,21.73167,82.21551,305.72,0.53,0.42,292.1,1.32,0.3103064152617927,0.2702610146415966,3,64,20.483333333333334,0,1,n,2,P100000124011,cement,NuvoVistas Corporation Raseda Cement Plant,operating,exact,2025-03-05,2029
industrial,20.924,86.04367,304.75,0.39,0.36,288.45,0.73,0.1997684940273338,0.182128616538292,1,2,19.85,0,1,n,2,L100000102474,coal_power,Kalinganagar Maithan power station,operating,exact,2025-01-02,1951
industrial,20.90793,71.46073,305.06,0.37,0.58,291.83,1.3,0.2327568768171779,0.20925302454270037,11,322,21.583333333333332,0,1,n,2,P100000124067,cement,UltraTech Cement Amreli Cement Plant,operating,exact,2025-11-18,2135
industrial,24.71343,75.95274,309.73,0.39,0.44,299.04,1.91,0.2219760801937025,0.20046928624825186,4,118,20.266666666666666,0,1,n,2,P100000124118,cement,Mangalam Cement Chonsala Cement Plant,operating,exact,2025-04-28,2016
industrial,23.98972,79.39159,301.15,0.46,0.63,288.07,1.06,0.1200303795550002,0.11335580954181655,11,312,19.683333333333334,0,1,n,2,P100000123939,cement,HeidelbergCement India Narsinghgarh Cement Plant,operating,exact,2025-11-08,1941
industrial,22.78307,86.20233,306.04,0.52,0.67,290.57,1.35,0.5308792454569682,0.42584224057795167,10,287,19.15,0,1,n,2,L100000102265,coal_power,Jamshedpur Works power station,operating,exact,2025-10-14,1909
industrial,18.68122,73.04269,332.82,0.49,0.4,296.19,4.85,0.4915586347373774,0.39982163679624355,10,277,8.133333333333333,1,1,n,2,P100000123969,cement,JSW Cement Raigad Cement Plant,operating,exact,2025-10-04,808
industrial,20.9218,86.04227,308.28,0.42,0.38,295.55,1.32,0.0974555273123723,0.0929943433351083,5,124,20.066666666666666,0,1,n,2,L100000102474,coal_power,Kalinganagar Maithan power station,operating,exact,2025-05-04,2004
industrial,17.13976,77.18401,301.14,0.33,0.55,291.01,1.01,0.8174298482502564,0.5974233317440327,1,25,21.033333333333335,0,1,n,2,P100000124060,cement,UltraTech Cement Nrupathanga Cement Plant,operating,exact,2025-01-25,2102
industrial,24.93265,74.63316,306.27,0.43,0.38,286.08,1.92,0.2183505039382082,0.19749789795405256,2,36,20.883333333333333,0,1,n,2,P100000123901,cement,Birla Corporation Chanderia Cement Plant,operating,exact,2025-02-05,2053
industrial,21.6781,84.03663,322.86,0.44,0.46,297.13,1.89,0.5006777118402144,0.4059168139671865,3,72,19.633333333333333,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-03-13,1938
industrial,24.66067,74.63528,306.41,0.47,0.4,287.41,1.66,0.3218104719276762,0.2790023664980001,5,128,20.483333333333334,0,1,n,2,P100000124135,cement,Wonder Cement Phachar Aheeran Cement Plant,operating,exact,2025-05-08,2029
industrial,24.93472,74.63319,311.6,0.39,0.36,294.45,1.91,0.4342014713421037,0.3606082283632479,3,74,20.666666666666668,0,1,n,2,P100000123901,cement,Birla Corporation Chanderia Cement Plant,operating,exact,2025-03-15,2040
industrial,27.66775,76.13373,310.16,0.4,0.37,297.4,1.55,0.5120966441287126,0.4134971937892135,6,165,20.583333333333332,0,1,n,2,P100000124068,cement,UltraTech Cement Kotputli Cement Plant,operating,exact,2025-06-14,2035
industrial,21.73001,82.21362,306.98,0.35,0.57,293.15,1.36,0.0861480104787401,0.08263750180043043,1,31,20.8,0,1,n,2,P100000124011,cement,NuvoVistas Corporation Raseda Cement Plant,operating,exact,2025-01-31,2048
industrial,22.78392,86.20565,303.17,0.72,0.75,289.95,1.19,0.6897978348438608,0.5246088974266735,10,292,20.933333333333334,0,1,n,2,L100000102265,coal_power,Jamshedpur Works power station,operating,exact,2025-10-19,2056
industrial,21.67703,84.03519,303.84,0.58,0.52,286.39,2.61,0.6908755740788204,0.5252464859429882,12,357,20.65,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-12-23,2039
industrial,22.13397,85.38424,304.85,0.55,0.43,290.25,0.71,0.2157527935518574,0.19536346810035807,10,296,19.683333333333334,0,1,n,2,L100000102448,coal_power,Barbil Jagannath power station,operating,exact,2025-10-23,1941
industrial,24.05185,80.61339,304.89,0.43,0.38,293.39,1.31,0.3242626214503921,0.28085579241493236,10,288,20.516666666666666,0,1,n,2,P100000123981,cement,ACC Kymore Cement Plant,operating,exact,2025-10-15,2031
industrial,21.67916,84.03745,326.49,0.4,0.37,294.2,1.93,0.3647306548619119,0.3109570867208022,11,305,20.216666666666665,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-11-01,2013
industrial,23.56083,87.23933,309.38,0.33,0.55,292.66,1.22,0.629059151233367,0.4880026403378096,6,160,20.483333333333334,0,1,n,2,P100000123904,cement,Birla Corporation Durgapur Cement Plant,operating,exact,2025-06-09,2029
industrial,20.90989,71.46116,310.8,0.47,0.4,298.26,1.28,0.0274860063561065,0.02711504817736706,4,94,21.116666666666667,0,1,n,2,P100000124067,cement,UltraTech Cement Amreli Cement Plant,operating,exact,2025-04-04,2107
industrial,24.6901,73.00286,312.5,0.5,0.41,294.54,1.89,0.0834774858846311,0.08017576271482744,10,286,21.15,0,1,n,2,P100000123961,cement,JK Lakshmi Cement Sirohi Cement Plant,operating,exact,2025-10-13,2109
industrial,21.68149,84.04079,313.91,0.46,0.39,296.0,1.67,0.0807066951018101,0.07761517446075877,3,70,20.266666666666666,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-03-11,2016
industrial,27.6678,76.1292,303.63,0.44,0.46,285.54,1.16,0.115690829095687,0.10947379071737791,12,350,21.15,0,1,n,2,P100000124068,cement,UltraTech Cement Kotputli Cement Plant,operating,exact,2025-12-16,2109
industrial,19.78691,79.14805,301.26,0.42,0.37,289.69,0.84,0.1643539193142977,0.15216635748780316,12,352,20.566666666666666,0,1,n,2,P100000124062,cement,UltraTech Cement Chandrapur Cement Plant,operating,exact,2025-12-18,2034
industrial,21.68122,84.03849,305.81,0.4,0.37,289.73,1.24,0.2125917688181605,0.19276002658871408,1,7,19.95,0,1,n,2,L100000102492,coal_power,Rengali Bhushan power station,operating,exact,2025-01-07,1957
industrial,21.38863,81.64872,309.39,0.42,0.45,290.72,0.95,0.3914038889334624,0.33031322948226927,1,21,20.583333333333332,0,1,n,2,L100000102183,coal_power,Siltara SKS power station,operating,exact,2025-01-21,2035
industrial,22.78363,86.20477,298.68,0.43,0.38,287.86,2.76,0.6369990906068841,0.4928647428646432,12,365,19.816666666666666,0,1,n,2,L100000102265,coal_power,Jamshedpur Works power station,operating,exact,2025-12-31,1949
